max in k: 106945.164691, sumS: 11437268250.734560, total var 26053589104.478317
max in k: 42822.342956, sumS: 13271021306.935514, total var 26053589104.478317
max in k: 37788.931030, sumS: 14699024615.301588, total var 26053589104.478317
max in k: 31048.574856, sumS: 15663038615.912813, total var 26053589104.478317
max in k: 29378.961656, sumS: 16526162003.918238, total var 26053589104.478317
max in k: 26895.555490, sumS: 17249532909.056953, total var 26053589104.478317
max in k: 24278.762080, sumS: 17838991197.179443, total var 26053589104.478317
max in k: 22832.434288, sumS: 18360311252.687603, total var 26053589104.478317
max in k: 21122.843381, sumS: 18806485765.180470, total var 26053589104.478317
max in k: 20033.753383, sumS: 19207837039.808060, total var 26053589104.478317
max in k: 18625.960681, sumS: 19554763451.080975, total var 26053589104.478317
max in k: 17505.108523, sumS: 19861192275.482334, total var 26053589104.478317
max in k: 15956.649138, sumS: 20115806927.195038, total var 26053589104.478317
max in k: 15568.386881, sumS: 20358181597.276398, total var 26053589104.478317
max in k: 15284.572543, sumS: 20591799755.109310, total var 26053589104.478317
max in k: 14253.288542, sumS: 20794955989.369816, total var 26053589104.478317
max in k: 13399.903235, sumS: 20974513396.086193, total var 26053589104.478317
max in k: 13121.947831, sumS: 21146698910.971031, total var 26053589104.478317
max in k: 12686.630411, sumS: 21307649502.152412, total var 26053589104.478317
max in k: 12476.470955, sumS: 21463311829.639172, total var 26053589104.478317
max in k: 11832.353111, sumS: 21603316409.779484, total var 26053589104.478317
max in k: 11739.148980, sumS: 21741124028.561798, total var 26053589104.478317
max in k: 11535.003050, sumS: 21874180323.930294, total var 26053589104.478317
max in k: 11361.335931, sumS: 22003260278.078648, total var 26053589104.478317
max in k: 10802.810698, sumS: 22119960997.059860, total var 26053589104.478317
max in k: 10278.242956, sumS: 22225603275.330151, total var 26053589104.478317
max in k: 9968.485436, sumS: 22324973977.221138, total var 26053589104.478317
max in k: 9582.173900, sumS: 22416792033.862232, total var 26053589104.478317
max in k: 9394.261605, sumS: 22505044184.972000, total var 26053589104.478317
max in k: 9222.697511, sumS: 22590102334.350666, total var 26053589104.478317
max in k: 9138.519046, sumS: 22673614864.710323, total var 26053589104.478317
